twotheta, yobs, ycal, bkg, diff
1.219000e+001,4.790000e+002,5.207910e+002,5.199694e+002,-4.179100e+001
1.220000e+001,5.190000e+002,5.204402e+002,5.196175e+002,-1.440218e+000
1.221000e+001,5.270000e+002,5.200897e+002,5.192658e+002,6.910288e+000
1.222000e+001,5.220000e+002,5.197395e+002,5.189143e+002,2.260523e+000
1.223000e+001,5.080000e+002,5.193895e+002,5.185632e+002,-1.138951e+001
1.224000e+001,5.330000e+002,5.190398e+002,5.182123e+002,1.396018e+001
1.225000e+001,5.250000e+002,5.186904e+002,5.178617e+002,6.309603e+000
1.226000e+001,5.150000e+002,5.183412e+002,5.175113e+002,-3.341245e+000
1.227000e+001,5.130000e+002,5.179924e+002,5.171612e+002,-4.992364e+000
1.228000e+001,5.350000e+002,5.176438e+002,5.168114e+002,1.735625e+001
1.229000e+001,5.460000e+002,5.172954e+002,5.164619e+002,2.870459e+001
1.230000e+001,5.110000e+002,5.169633e+002,5.161126e+002,-5.963313e+000
1.231000e+001,5.080000e+002,5.166155e+002,5.157636e+002,-8.615520e+000
1.232000e+001,4.980000e+002,5.162680e+002,5.154148e+002,-1.826800e+001
1.233000e+001,5.220000e+002,5.159207e+002,5.150663e+002,6.079257e+000
1.234000e+001,5.330000e+002,5.155738e+002,5.147181e+002,1.742624e+001
1.235000e+001,5.010000e+002,5.152270e+002,5.143702e+002,-1.422704e+001
1.236000e+001,4.820000e+002,5.148806e+002,5.140225e+002,-3.288060e+001
1.237000e+001,5.180000e+002,5.145344e+002,5.136751e+002,3.465580e+000
1.238000e+001,5.290000e+002,5.141885e+002,5.133279e+002,1.481149e+001
1.239000e+001,5.600000e+002,5.138429e+002,5.129810e+002,4.615713e+001
1.240000e+001,4.910000e+002,5.134975e+002,5.126344e+002,-2.249750e+001
1.241000e+001,5.240000e+002,5.131524e+002,5.122881e+002,1.084760e+001
1.242000e+001,5.020000e+002,5.128076e+002,5.119420e+002,-1.080757e+001
1.243000e+001,5.300000e+002,5.124630e+002,5.115962e+002,1.753700e+001
1.244000e+001,5.330000e+002,5.121187e+002,5.112506e+002,2.088130e+001
1.245000e+001,5.190000e+002,5.117747e+002,5.109053e+002,7.225327e+000
1.246000e+001,5.230000e+002,5.114309e+002,5.105603e+002,1.156909e+001
1.247000e+001,5.280000e+002,5.110874e+002,5.102155e+002,1.691258e+001
1.248000e+001,5.370000e+002,5.107442e+002,5.098710e+002,2.625581e+001
1.249000e+001,5.430000e+002,5.104012e+002,5.095268e+002,3.259877e+001
1.250000e+001,5.270000e+002,5.100585e+002,5.091828e+002,1.694146e+001
1.251000e+001,4.990000e+002,5.097161e+002,5.088391e+002,-1.071611e+001
1.252000e+001,4.940000e+002,5.093740e+002,5.084957e+002,-1.537395e+001
1.253000e+001,5.260000e+002,5.090321e+002,5.081525e+002,1.696794e+001
1.254000e+001,5.020000e+002,5.086904e+002,5.078096e+002,-6.690437e+000
1.255000e+001,4.770000e+002,5.083491e+002,5.074669e+002,-3.134908e+001
1.256000e+001,5.060000e+002,5.080080e+002,5.071246e+002,-2.007985e+000
